"id","nama_komoditas","id_kelompok","nama_kelompok","satuan","kode_coicop","kalori","flag_basket","type"
"1","A. PADI-PADIAN [R.2 s.d. R.7]","0","A. PADI-PADIAN [R.2 s.d. R.7]",,NULL,"0","0","sub"
"2","Beras (beras lokal, kualitas unggul, impor)","0","A. PADI-PADIAN [R.2 s.d. R.7]","Kg",NULL,"3622","1","standar"
"3","Beras ketan","0","A. PADI-PADIAN [R.2 s.d. R.7]","Kg",NULL,"3605","1","standar"
"4","Jagung basah degan kulit","0","A. PADI-PADIAN [R.2 s.d. R.7]","Kg",NULL,"361.2","0","standar"
"5","Jagung pipilan/beras jagung","0","A. PADI-PADIAN [R.2 s.d. R.7]","Kg",NULL,"3200","1","standar"
"6","Tepung terigu","0","A. PADI-PADIAN [R.2 s.d. R.7]","Kg",NULL,"3330","1","standar"
"7","Padi‐padian lainnya (sebutkan):","0","A. PADI-PADIAN [R.2 s.d. R.7]","Kg",NULL,"3570","0","lain"
"8","B. UMBI-UMBIAN [R.9 s.d. R.15]","1","B. UMBI-UMBIAN [R.9 s.d. R.15]",,NULL,"0","0","sub"
"9","Ketala pohon/singkong","1","B. UMBI-UMBIAN [R.9 s.d. R.15]","Kg",NULL,"1309","1","standar"
"10","Ketela rambat/ubi jalar","1","B. UMBI-UMBIAN [R.9 s.d. R.15]","Kg",NULL,"1252.2","1","standar"
"11","Sagu (bukan dari ketela pohon)","1","B. UMBI-UMBIAN [R.9 s.d. R.15]","Kg",NULL,"3380","0","standar"
"12","Talas/keladi","1","B. UMBI-UMBIAN [R.9 s.d. R.15]","Kg",NULL,"1135.4","0","standar"
"13","Kentang","1","B. UMBI-UMBIAN [R.9 s.d. R.15]","Kg",NULL,"520.8","0","standar"
"14","Gaplek","1","B. UMBI-UMBIAN [R.9 s.d. R.15]","Kg",NULL,"3380","1","standar"
"15","Umbi‐umbian lainnya (sebutkan):","1","B. UMBI-UMBIAN [R.9 s.d. R.15]","Kg",NULL,"3014.83","0","lain"
"16","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]",,NULL,"0","0","sub"
"17","Ekor kuning","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"872","0","standar"
"18","Tongkol","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"904","1","standar"
"19","Tuna","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"904","1","standar"
"20","Cakalang, dencis","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"904","1","standar"
"21","Tenggiri","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"904","0","standar"
"22","Selar","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"480","0","standar"
"23","Kembung","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"824","1","standar"
"24","Teri Basah","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"740","1","standar"
"25","Bandeng","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"1032","1","standar"
"26","Gabus","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"477.4","0","standar"
"27","Mujair","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"712","1","standar"
"28","Mas","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"688","0","standar"
"29","Nila","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"688","0","standar"
"30","Lele","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"477.4","0","standar"
"31","Kakap","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"736","0","standar"
"32","Baronang","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"1200","0","standar"
"33","Patin","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"477.4","0","standar"
"34","Bawal","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"960","0","standar"
"35","Gurame","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"712","0","standar"
"36","Ikan segar/basah lainnya (sebutkan):","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"904","0","lain"
"37","Udang","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"618.8","0","standar"
"38","Cumi‐cumi/sotong","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"750","0","standar"
"39","Ketam/kepiting/rajungan","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"679.5","0","standar"
"40","Kerang/siput","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"1010","0","standar"
"41","Udang dan hewan air lainnya  yang segar lainnya (sebutkan):","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Kg",NULL,"552.2","0","lain"
"42","Kembung diawetkan/peda","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"140.4","0","standar"
"43","Tenggiri diawetkan","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"135.1","0","standar"
"44","Tongkol/tuna/cakalang diawetkan","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"138.6","0","standar"
"45","Teri diawetkan","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"230.5","0","standar"
"46","Selar diawetkan","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"145.5","0","standar"
"47","Sepat diawetkan","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"216.8","0","standar"
"48","Bandeng diawetkan","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"296","0","standar"
"49","Gabus diawetkan","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"233.6","0","standar"
"50","Ikan dalam kaleng","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"338","0","standar"
"51","Ikan diawetkan lainnya (sebutkan):","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"305","0","lain"
"52","Udang diawetkan (ebi,rebon)","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"265.5","0","standar"
"53","Cumi‐cumi/sotong diawetkan","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"265.5","0","standar"
"54","Udang dan hewan air lainnya yang diawetkan (sebutkan):","2","C. IKAN/UDANG/CUMI/KERANG [R.17 s.d. R.54]","Ons",NULL,"357","0","lain"
"55","D. DAGING [R.56 s.d. R.64]","3","D. DAGING [R.56 s.d. R.64]",,NULL,"0","0","sub"
"56","Daging sapi","3","D. DAGING [R.56 s.d. R.64]","Kg",NULL,"2070","1","standar"
"57","Daging kambing","3","D. DAGING [R.56 s.d. R.64]","Kg",NULL,"1540","0","standar"
"58","Daging babi","3","D. DAGING [R.56 s.d. R.64]","Kg",NULL,"4165","1","standar"
"59","Daging ayam ras","3","D. DAGING [R.56 s.d. R.64]","Kg",NULL,"3020","1","standar"
"60","Daging ayam kampung","3","D. DAGING [R.56 s.d. R.64]","Kg",NULL,"3020","1","standar"
